渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,2021/12/06,1028889223,134995883,12477184,1097,雀巢咖啡1+2无蔗糖添加双豆拼配条装即溶咖啡330g(新口味30条x11g）,Coffee,2,1028889223YK,616.730880,7.697280,379.05,0.05,0.002236,2021/12/08,35.7080,31.5875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028889223,134912867,,1097,雀巢天天脆麦片150g,,22,1028889223YK,,,,,,2021/12/08,7.3630,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028889223,11663158121,,1097,雀巢鹰唛炼奶小条装 5X20g,,15,1028889223YK,,,,,,2021/12/08,8.0230,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,11503123276,12425036,1097,雀巢脆谷乐营养谷物食品300g,CPW,1,1028888792YK,191.102000,0.000000,235.00,0.0000,0.0000,2021/12/08,26.5550,23.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,12316195422,12495109,1097,雀巢金牌香草风味玛奇朵条装即溶咖啡饮品95g,Coffee,1,1028888792YK,95.468241,-2.928959,121.00,0.0000,0.029767,2021/12/08,13.2660,12.10,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,12301249521,12482260,1097,雀巢怡运水果加纤营养奶粉桃子味200g,Dairy,1,1028888792YK,141.496800,0.000000,174.00,0.0000,0.0000,2021/12/08,19.6620,17.40,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,12274250339,12501705,1097,雀巢咖啡特调果萃系列草莓雪酪风味即溶咖啡饮品@10(5x19g)CN,Coffee,1,1028888792YK,54.045416,-2.878584,70.00,0.0000,0.050569,2021/12/08,7.5100,7.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,10557881569,12342813,1097,雀巢NIDO全脂高钙奶粉立袋装900g,Dairy,9,1028888792YK,5935.533846,-0.012954,811.00,0.0000,0.000002,2021/12/08,76.3690,67.583333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,103635918,12494598,1097,雀巢咖啡 醇品 200g,Coffee,1,1028888792YK,539.639520,-34.479680,706.00,0.0000,0.060057,2021/12/08,62.4890,58.833333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,11824844499,12443652,1097,星巴克Origami 特选综合便携式滴滤咖啡（研磨咖啡）45克（内含5包）,Coffee,2,1028888792YK,344.799679,0.002879,212.00,0.0000,-0.000008,2021/12/08,39.9270,35.333333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,124232772,12483915,1097,雀巢(Nestle)怡养健心中老年奶粉400g,Dairy,1,1028888792YK,412.538519,-21.710281,534.00,0.0000,0.049995,2021/12/08,47.7710,44.50,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,11631130977,12430466,1097,雀巢（Nestle）金牌挂耳咖啡 手冲大师 深度烘焙 45g,Coffee,1,1028888792YK,139.156511,-7.219489,180.00,0.0000,0.049322,2021/12/08,16.1140,15.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,103635812,12495343,1097,雀巢 咖啡伴侣 400g,Coffee,1,1028888792YK,258.597600,0.000000,318.00,0.0000,0.0000,2021/12/08,29.9450,26.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,12279129751,12496119,1097,雀巢怡养益护因子中老年奶粉1400g,Dairy,4,1028888792YK,1136.853600,-69.935200,371.00,0.0000,0.057951,2021/12/08,131.6450,123.666667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,10733404801,12453381,1097,雀巢金牌咖啡至雅柔和100g,Coffee,1,1028888792YK,595.469658,-38.013142,779.00,0.0000,0.060007,2021/12/08,68.9540,64.916667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,12333409373,12502717,1097,雀巢咖啡绝对深黑95%深烘速溶咖啡14.4g,Coffee,8,1028888792YK,829.464000,3.252800,127.00,0.0000,-0.003937,2021/12/08,9.6050,8.466667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,11738016366,12442059,1097,星巴克中度烘焙精品速溶咖啡23克（内含10条）,Coffee,2,1028888792YK,414.573678,-0.158322,255.00,0.0000,0.000382,2021/12/08,36.0050,31.875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,135000912,12326620,1097,雀巢咖啡 馆藏系列 臻享白咖啡580g(20条x29g),Coffee,1,1028888792YK,475.726318,0.004318,585.00,0.0000,-0.000009,2021/12/08,41.3160,36.5625,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,617568833,,1097,雀巢怡养金装高纤二合一中老年燕麦片350g,,1,1028888792YK,,,,,,2021/12/08,21.3290,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,193290837,12293902,1097,雀巢优麦紫薯香芋牛奶燕麦片 350g,Dairy,1,1028888792YK,269.170639,0.001439,331.00,0.0000,-0.000005,2021/12/08,23.3770,20.6875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,134908471,,1097,雀巢可可味滋滋谷物早餐300g,,20,1028888792YK,,,,,,2021/12/08,22.9600,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,134908147,12210627,1097,雀巢蛋奶星星谷物早餐300g,CPW,21,1028888792YK,2775.876191,-0.022669,162.55,0.0000,0.000008,2021/12/08,22.9600,20.31875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,140159528,,1097,雀巢金牌法式烘焙咖啡礼盒150g,,3,1028888792YK,,,,,,2021/12/08,168.9350,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,12207432889,,1097,雀巢咖啡金牌手冲大师研磨礼盒,,33,1028888792YK,,,,,,2021/12/08,116.1080,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,11272864621,12495904,1097,雀巢可可味滋滋营养早餐谷物食品330g,CPW,2,1028888792YK,332.274959,-49.929041,235.00,0.0000,0.130635,2021/12/08,23.0860,23.50,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,11724419143,12431506,1097,雀巢营养早餐谷物食品迷你装27g*4,CPW,1,1028888792YK,199.226804,-8.139196,255.00,0.0000,0.039250,2021/12/08,13.8420,12.75,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,10581890190,,1097,雀巢脆香牛奶燕麦片紫薯红豆味180g,,20,1028888792YK,,,,,,2021/12/08,22.5670,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,10581890191,,1097,雀巢脆香牛奶燕麦片绿茶味180g,,22,1028888792YK,,,,,,2021/12/08,22.5670,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,11663157360,12376638,1097,雀巢NIDO有机全脂奶粉900g,Dairy,2,1028888792YK,2771.385600,0.000000,1704.00,0.0000,0.0000,2021/12/08,160.4600,142.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,103635916,12498475,1097,雀巢（Nestle）醇品 速溶 黑咖啡 无蔗糖 冲调饮料 瓶装 50g,Coffee,2,1028888792YK,321.215439,-0.811761,198.00,0.0000,0.002521,2021/12/08,18.5980,16.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,104431708,12495353,1097,雀巢（Nestle）咖啡伴侣瓶装200g,Coffee,2,1028888792YK,297.639836,0.008636,183.00,0.0000,-0.000029,2021/12/08,17.2330,15.25,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,10581890193,,1097,雀巢可可味滋滋150g,,20,1028888792YK,,,,,,2021/12/08,13.7570,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,10581890194,,1097,雀巢脆谷乐150g,,21,1028888792YK,,,,,,2021/12/08,13.7570,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
