渠道,客户名称,"date_format(`订单日期`, '%Y%m%d')",客户PO,客户产品码,雀巢产品码,区域,产品名称,Nestle_BU,数量,SAP_PO,C4开票价,价差,箱价,TPP扣点,实际扣点,"date_format(`客户要求送货日`, '%Y/%m/%d')",客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,20211130,1028795335,191291942,12326607,7282,雀巢金牌丝滑拿铁条装即溶咖啡饮品(20x20g),Coffee,2,1028795335YK,903.875398,-47.568602,585.00,0.000000,0.049996,2021/12/03,39.2500,36.5625,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,11663157259,,7282,雀巢咖啡1+2奶香微研磨42条咖啡630g,,3,1028795335YK,,,,,,2021/12/03,51.5090,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,11631130977,12430466,7282,雀巢（Nestle）金牌挂耳咖啡 手冲大师 深度烘焙 45g,Coffee,3,1028795335YK,417.158646,-21.969354,180.00,0.000000,0.050029,2021/12/03,16.1020,15.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,144750704,12453258,7282,雀巢 金牌GOLD 瑞士 进口速溶咖啡100g/瓶,Coffee,3,1028795335YK,1805.424901,-95.023499,779.00,0.000000,0.050001,2021/12/03,69.6880,64.916667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,10733404801,12362972,7282,雀巢金牌咖啡至雅柔和100g,Coffee,3,1028795335YK,1805.424901,-95.023499,779.00,0.000000,0.050001,2021/12/03,69.6880,64.916667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,12274250354,12501695,7282,雀巢咖啡特调果萃系列香柚莫奇托风味即溶咖啡饮品@10(5x15g)CN,Coffee,4,1028795335YK,218.599674,-9.096326,70.00,0.000000,0.039949,2021/12/03,7.5940,7.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,12333409371,12505197,7282,雀巢咖啡绝对深黑拿铁即溶咖啡饮品126g,Coffee,3,1028795335YK,431.064366,-22.701234,186.00,0.000000,0.050029,2021/12/03,13.3110,12.40,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,134910653,,7282,雀巢脆谷乐谷物早餐300g,,6,1028795335YK,,,,,,2021/12/03,22.9600,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,103635812,12495343,7282,雀巢 咖啡伴侣 400g,Coffee,4,1028795335YK,982.679516,-51.710884,318.00,0.000000,0.049992,2021/12/03,28.4480,26.50,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,12274147641,12501697,7282,雀巢咖啡特调果萃系列沁风桃桃风味即溶咖啡饮品@10(5x15g)CN,Coffee,5,1028795335YK,273.249593,-11.370407,70.00,0.000000,0.039949,2021/12/03,7.5940,7.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,134908147,,7282,雀巢蛋奶星星谷物早餐300g,,7,1028795335YK,,,,,,2021/12/03,21.8120,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,124233700,12479429,7282,雀巢 健心中老年奶粉金装2合1配方 800g/罐,Dairy,1,1028795335YK,560.088981,-29.481019,725.00,0.000000,0.050004,2021/12/03,129.7140,120.833333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,11129878139,12477039,7282,雀巢怡养脑力加油站TM配方奶粉800g,Dairy,1,1028795335YK,560.088981,-29.481019,725.00,0.000000,0.050004,2021/12/03,129.7140,120.833333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,124231084,12409460,7282,雀巢 高钙营养奶粉 850g/罐,Dairy,1,1028795335YK,309.790339,-16.302861,401.00,0.000000,0.049994,2021/12/03,71.7460,66.833333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,140665104,12492608,7282,雀巢 怡养健心中老年奶粉800g,Dairy,1,1028795335YK,421.036099,-22.157901,545.00,0.000000,0.049996,2021/12/03,97.5100,90.833333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,793465932,12322429,7282,雀巢 鹰麦炼奶低脂185g,Dairy,3,1028795335YK,538.093720,-27.893480,232.00,0.000000,0.049283,2021/12/03,10.3850,9.666667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,134908471,,7282,雀巢可可味滋滋谷物早餐300g,,9,1028795335YK,,,,,,2021/12/03,21.8120,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,134909486,,7282,雀巢蜂蜜脆谷乐谷物早餐300g,,11,1028795335YK,,,,,,2021/12/03,21.8120,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,11663158711,12245095,7282,雀巢玉米片150g,CPW,5,1028795335YK,705.389830,-67.150170,190.00,0.000000,0.086921,2021/12/03,10.8910,10.555556,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028801019,124231084,12409460,1098,雀巢 高钙营养奶粉 850g/罐,Dairy,10,1028801019CH,3260.946393,0.014393,401.00,0.000000,-0.000004,2021/12/02,75.5220,66.833333,,,,,,指定送货日,客户网站交货日期不符合车期,
01 NKA,家乐福,20211130,1028801019,140665104,12492608,1098,雀巢 怡养健心中老年奶粉800g,Dairy,10,1028801019CH,4431.954393,0.014393,545.00,0.000000,-0.000003,2021/12/02,102.6420,90.833333,,,,,,指定送货日,客户网站交货日期不符合车期,
01 NKA,家乐福,20211130,1028801671,124127666,12477189,1098,雀巢咖啡1+2原味15g*30,Coffee,2,1028801671YK,616.730880,0.243960,379.05,0.040660,0.011576,2021/12/01,35.7080,31.5875,,,,,,送货日异常,送货日异常,
01 NKA,家乐福,20211201,1028809986,134553454,12457091,1093,雀巢脆脆鲨花生味威化24+8条促销装(24+8)x20g,Confec.,9,1028809986HQ,4540.505798,-238.670602,653.00,0.000000,0.049940,2021/12/04,29.2100,27.208333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211201,1028809986,134553766,12457092,1093,雀巢脆脆鲨牛奶味威化(24+8)条促销装640g((24+8)x20g)/盒,Confec.,15,1028809986HQ,7567.509664,-397.784336,653.00,0.000000,0.049940,2021/12/04,29.2100,27.208333,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028801019,124231084,12409460,1098,雀巢 高钙营养奶粉 850g/罐,Dairy,10,1028801019CH,,,401.00,,,2021/12/04,75.5220,,,,,,,订单修改RDD,客户网站交货日期被修改,
01 NKA,家乐福,20211130,1028801019,140665104,12329778,1098,雀巢 怡养健心中老年奶粉800g,Dairy,10,1028801019CH,,,545.00,,,2021/12/04,102.6420,,,,,,,订单修改RDD,客户网站交货日期被修改,
