Order Date,PO No.,SAP PO,仓号,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,Order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
2021/12/21,8650487190,8650487190-WHFDC-1221-70,7429,WHFDC,REGPROWWHF,,,,14,2021/07/22,2021/07/30,exception,重复订单：订单修改MABD,Order,2,2021/07/29,2021/07/30,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,8650487245,8650487245-WHFDC-1221-71,7429,WHFDC,HODEMWKWHF,,,,52,2021/07/26,2021/08/02,exception,跨月订单,Order,3,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,8650487297,8650487297-WHFDC-1221-72,7429,WHFDC,HODEMWKWHF,,,,21,2021/07/31,2021/08/07,exception,跨月订单,Order,5,,2021/08/07,,,,,,,,,,跨月订单
2021/12/21,8650487354,8650487354-WHFDC-1221-73,7429,WHFDC,HODEMWKWHF,,,,403,2021/08/03,2021/08/09,clean,,Order,6,,2021/08/09,,,,,,,,,,
2021/12/21,8650487448,8650487448-WHFDC-1221-74,7429,WHFDC,STOF4WHWHF,,,,1,2021/08/05,2021/08/16,clean,,Order,1,,2021/08/16,,,,,,,,,,
2021/12/21,8650487475,8650487475-WHFDC-1221-75,7429,WHFDC,STOF4WHWHF,,,,7,2021/08/09,2021/08/23,clean,,Order,2,,2021/08/23,,,,,,,,,,
2021/12/21,8850492320,8850492320-SHFDC-1221-76,7026,SHFDC,POS REPLEN,,,,17,2021/07/27,2021/08/07,exception,重复订单：订单修改MABD,Order,4,2021/08/06,2021/08/07,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,8850492358,8850492358-SHFDC-1221-77,7026,SHFDC,POS REPLEN,,,,27,2021/08/03,2021/08/10,clean,,Order,5,,2021/08/10,,,,,,,,,,
2021/12/21,9050502130,9050502130-BJFDC-1221-78,7964,BJFDC,POS REPLEN,,,,39,2021/07/26,2021/08/02,exception,跨月订单,Order,7,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,9050502169,9050502169-BJFDC-1221-79,7964,BJFDC,POS REPLEN,,,,46,2021/08/02,2021/08/09,clean,,Order,6,,2021/08/09,,,,,,,,,,
2021/12/21,9050502205,9050502205-BJFDC-1221-80,7964,BJFDC,POS REPLEN,,,,8,2021/08/09,2021/08/16,clean,,Order,3,,2021/08/16,,,,,,,,,,
2021/12/21,9150492542,9150492542-HZFDC-1221-81,7433,HZFDC,POS REPLEN,,,,64,2021/07/27,2021/08/07,exception,重复订单：订单修改MABD,Order,6,2021/08/06,2021/08/07,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,9150492582,9150492582-HZFDC-1221-82,7433,HZFDC,POS REPLEN,,,,41,2021/08/03,2021/08/10,clean,,Order,7,,2021/08/10,,,,,,,,,,
2021/12/21,9550469602,9550469602-FZFDC-1221-83,7012,FZFDC,REGPROWFZF,,,,2,2021/07/22,2021/07/30,exception,重复订单：订单修改MABD,Order,1,2021/07/29,2021/07/30,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,9550469603,9550469603-FZFDC-1221-84,7012,FZFDC,HODEMWKFZF,,,,10,2021/07/22,2021/07/30,exception,重复订单：订单修改MABD,Order,7,2021/07/29,2021/07/30,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,9550469655,9550469655-FZFDC-1221-85,7012,FZFDC,HODEMWKFZF,,,,20,2021/07/26,2021/08/02,exception,跨月订单,Order,5,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,9550469700,9550469700-FZFDC-1221-86,7012,FZFDC,HODEMWKFZF,,,,3,2021/07/31,2021/08/07,exception,跨月订单,Order,2,,2021/08/07,,,,,,,,,,跨月订单
2021/12/21,9550469735,9550469735-FZFDC-1221-87,7012,FZFDC,HODEMWKFZF,,,,159,2021/08/03,2021/08/09,clean,,Order,6,,2021/08/09,,,,,,,,,,
2021/12/21,9550469784,9550469784-FZFDC-1221-88,7012,FZFDC,HODEMWKFZF,,,,10,2021/08/05,2021/08/13,exception,重复订单：订单修改MABD,Order,2,2021/08/12,2021/08/13,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,9550469826,9550469826-FZFDC-1221-89,7012,FZFDC,HODEMWKFZF,,,,21,2021/08/09,2021/08/16,clean,,Order,5,,2021/08/16,,,,,,,,,,
2021/12/21,9550469845,9550469845-FZFDC-1221-90,7012,FZFDC,HODEMWKFZF,,,,21,2021/08/12,2021/08/20,exception,重复订单：订单修改MABD,Order,4,2021/08/19,2021/08/20,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,9550469919,9550469919-FZFDC-1221-91,7012,FZFDC,REGPROWFZF,,,,71,2021/08/20,2021/08/27,clean,,Order,5,,2021/08/27,,,,,,,,,,
2021/12/21,9700920730,9700920730-DGPDC-1221-92,7013,DGPDC,NST2735DGF,,,,1,2021/08/15,2021/08/23,clean,,Order,1,,2021/08/23,,,,,,,,,,
2021/12/21,9700920740,9700920740-DGPDC-1221-93,7013,DGPDC,NST2735DGF,,,,2,2021/08/17,2021/08/25,clean,,Order,1,,2021/08/25,,,,,,,,,,
2021/12/21,9750491582,9750491582-SYFDC-1221-94,7428,SYFDC,POS REPLEN,,,,36,2021/07/26,2021/08/02,exception,跨月订单,Order,6,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,9750491614,9750491614-SYFDC-1221-95,7428,SYFDC,POS REPLEN,,,,50,2021/08/02,2021/08/09,clean,,Order,6,,2021/08/09,,,,,,,,,,
2021/12/21,9750491644,9750491644-SYFDC-1221-96,7428,SYFDC,POS REPLEN,,,,8,2021/08/09,2021/08/16,clean,,Order,4,,2021/08/16,,,,,,,,,,
