Order Date,PO No.,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
11/16/2021,2050493465,CDDC,SYSOS,Dairy,,稳定,476,11/09/2021,11/11/2021,exception,,Item,6,,11/11/2021,020000834,12416019,雀巢怡运全脂高钙奶粉@18x375g CN,,,,78,651,633,价差订单
11/16/2021,2050493465,CDDC,SYSOS,,,稳定,476,11/09/2021,11/11/2021,clean,,Order,6,,11/11/2021,,,,,,,,,,
11/16/2021,2050501545,SYDC,POS REPLEN,,,稳定,48,11/09/2021,11/13/2021,exception,问题订单,Order,1,,11/13/2021,,,,,,,,,,问题订单
11/16/2021,2100504466,CDDC,POS REPLEN,,,,11,10/31/2021,11/04/2021,exception,问题订单; 跨月订单,Order,10,,11/04/2021,,,,,,,,,,问题订单; 跨月订单
11/16/2021,2100504515,CDDC,POS REPLEN,,,,9,11/04/2021,11/08/2021,exception,问题订单,Order,6,,11/08/2021,,,,,,,,,,问题订单
11/16/2021,2100504528,CDDC,POS REPLEN,,,,36,11/07/2021,11/11/2021,exception,问题订单,Order,14,,11/11/2021,,,,,,,,,,问题订单
11/16/2021,2150584274,CDDC,POS REPLEN,Confectionery,,,28,10/31/2021,11/04/2021,exception,,Item,9,,11/04/2021,020746323,12458793,雀巢脆脆鲨鲨刻能榛果味威化代可可脂巧克力分享装 @20(10x20g) CN,,,,2,653,533,价差订单
11/16/2021,2150584274,CDDC,POS REPLEN,,,,28,10/31/2021,11/04/2021,exception,问题订单; 跨月订单,Order,9,,11/04/2021,,,,,,,,,,问题订单; 跨月订单
11/16/2021,2150584291,CDDC,POS REPLEN,Dairy,,,114,10/31/2021,11/04/2021,exception,,Item,28,,11/04/2021,020210802,12483915,雀巢怡养健心中老年奶粉袋装 @12(16x25g) CN,,,,6,411,400,特殊产品需检查订单
11/16/2021,2150584291,CDDC,POS REPLEN,,,,114,10/31/2021,11/04/2021,exception,问题订单; 跨月订单,Order,28,,11/04/2021,,,,,,,,,,问题订单; 跨月订单
11/16/2021,2150584522,CDDC,POS REPLEN,Confectionery,,,10,11/04/2021,11/08/2021,exception,,Item,5,,11/08/2021,020442125,12498720,雀巢脆脆鲨巧克力口味威化代可可脂巧克力分享桶 @12×330g CN,,,,4,653,533,价差订单
11/16/2021,2150584522,CDDC,POS REPLEN,,,,10,11/04/2021,11/08/2021,exception,问题订单,Order,5,,11/08/2021,,,,,,,,,,问题订单
11/16/2021,2150584530,CDDC,POS REPLEN,Coffee,,,233,11/04/2021,11/08/2021,exception,,Item,34,,11/08/2021,020539844,12479912,雀巢咖啡1+2特浓双豆拼配条装即溶咖啡 @15(7x13g) CN,,,,5,401,514,特殊产品需检查订单
11/16/2021,2150584530,CDDC,POS REPLEN,,,,233,11/04/2021,11/08/2021,exception,问题订单,Order,34,,11/08/2021,,,,,,,,,,问题订单
11/16/2021,2150584587,CDDC,POS REPLEN,,,,142,11/07/2021,11/11/2021,exception,问题订单,Order,10,,11/11/2021,,,,,,,,,,问题订单
11/16/2021,2150584599,CDDC,POS REPLEN,Dairy,,,1927,11/07/2021,11/11/2021,exception,,Item,60,,11/11/2021,020418793,12482249,雀巢怡运水果加纤营养奶粉甜美草莓味@10x200gCN,,,,16,411,400,特殊产品需检查订单
11/16/2021,2150584599,CDDC,POS REPLEN,,,,1927,11/07/2021,11/11/2021,exception,问题订单,Order,60,,11/11/2021,,,,,,,,,,问题订单
11/16/2021,2150584777,CDDC,POS REPLEN,,,,161,11/09/2021,11/13/2021,exception,问题订单,Order,11,,11/13/2021,,,,,,,,,,问题订单
11/16/2021,2150584807,CDDC,POS REPLEN,Coffee,,,1033,11/09/2021,11/13/2021,exception,,Item,57,,11/13/2021,020938338,12368832,雀巢金牌丝滑拿铁条装即溶咖啡饮品 @10(5x20g) CN,,,,3,411,400,价差订单
11/16/2021,2150584807,CDDC,POS REPLEN,,,,1033,11/09/2021,11/13/2021,exception,问题订单,Order,57,,11/13/2021,,,,,,,,,,问题订单
11/16/2021,2150590009,JXDC,MODWK43,,,,34,11/04/2021,11/09/2021,clean,,Order,2,,11/09/2021,,,,,,,,,,
11/16/2021,2150590226,JXDC,MODWK44,,,,9,11/07/2021,11/15/2021,clean,,Order,3,,11/15/2021,,,,,,,,,,
11/16/2021,2150590353,JXDC,MODWK44,,,,2,11/08/2021,11/15/2021,clean,,Order,1,,11/15/2021,,,,,,,,,,
11/16/2021,2150590396,JXDC,STOF4,Dairy,,,3,11/09/2021,11/15/2021,exception,,Item,1,,11/15/2021,021118713,12409460,雀巢高钙营养奶粉听装 @6x850gN1 CN,,,,3,401,514,价差订单
11/16/2021,2150590396,JXDC,STOF4,,,,3,11/09/2021,11/15/2021,exception,STOF4订单,Order,1,,11/15/2021,,,,,,,,,,STOF4订单
11/16/2021,2150590435,JXDC,STOF4,,,,1,11/09/2021,11/14/2021,exception,STOF4订单,Order,1,,11/14/2021,,,,,,,,,,STOF4订单
11/16/2021,2150590445,JXDC,MODWK44,,,,144,11/09/2021,11/15/2021,clean,,Order,3,,11/15/2021,,,,,,,,,,
11/16/2021,2150590446,JXDC,HODEMWK41,,,,46,11/09/2021,11/11/2021,clean,,Order,1,,11/11/2021,,,,,,,,,,
11/16/2021,2150590455,JXDC,JDFWK41,Dairy,,,5,11/09/2021,11/15/2021,exception,,Item,3,,11/15/2021,020541527,12479429,雀巢怡养健心金装2合1配方奶粉@6x800g N3CN,,,,1,725,680,价差订单
11/16/2021,2150590455,JXDC,JDFWK41,,,,5,11/09/2021,11/15/2021,clean,,Order,3,,11/15/2021,,,,,,,,,,
11/16/2021,2150590505,JXDC,FWBWK41,,,,1,11/10/2021,11/15/2021,clean,,Order,1,,11/15/2021,,,,,,,,,,
11/16/2021,2200413824,SYDC,SYSOS,Coffee,,,185,10/29/2021,11/01/2021,exception,,Item,43,,11/01/2021,020232653,12495121,雀巢金牌绵醇卡布奇诺条装即溶咖啡饮品 @10(5x19g) CN,,,,2,725,680,特殊产品需检查订单
11/16/2021,2200413824,SYDC,SYSOS,,,,185,10/29/2021,11/01/2021,exception,跨月订单,Order,43,,11/01/2021,,,,,,,,,,跨月订单
11/16/2021,2200413825,SYDC,SYSOS,,,,40,10/29/2021,11/01/2021,exception,仓租不为1.3%订单; 跨月订单,Order,9,,11/01/2021,,,,,,,,,,仓租不为1.3%订单; 跨月订单
11/16/2021,2200413826,SYDC,SYSOS,Coffee,,,140,10/29/2021,11/01/2021,exception,,Item,38,,11/01/2021,020232693,12495109,雀巢金牌香草风味玛奇朵条装即溶咖啡饮品 @10(5x19g) CN,,,,2,651,633,价差订单
11/16/2021,2200413826,SYDC,SYSOS,,,,140,10/29/2021,11/01/2021,exception,跨月订单,Order,38,,11/01/2021,,,,,,,,,,跨月订单
11/16/2021,2200413827,SYDC,SYSOS,Confectionery,,,84,10/29/2021,11/04/2021,exception,,Item,11,,11/04/2021,021002835,12459749,雀巢脆脆鲨巧克力味四条装 @40x50g CN,,,,8,653,533,价差订单
11/16/2021,2200413827,SYDC,SYSOS,,,,84,10/29/2021,11/04/2021,exception,跨月订单,Order,11,,11/04/2021,,,,,,,,,,跨月订单
11/16/2021,2200413828,SYDC,SYSOS,,,,3,10/29/2021,11/04/2021,exception,跨月订单,Order,2,,11/04/2021,,,,,,,,,,跨月订单
11/16/2021,2200413829,SYDC,SYSOS,Coffee,,,19,11/01/2021,11/04/2021,exception,,Item,10,,11/04/2021,020232653,12495121,雀巢金牌绵醇卡布奇诺条装即溶咖啡饮品 @10(5x19g) CN,,,,3,831,764,价差订单
11/16/2021,2200413829,SYDC,SYSOS,,,,19,11/01/2021,11/04/2021,clean,,Order,10,,11/04/2021,,,,,,,,,,
11/16/2021,2200413830,SYDC,SYSOS,,,,42,11/01/2021,11/04/2021,clean,,Order,10,,11/04/2021,,,,,,,,,,
11/16/2021,2200413831,SYDC,SYSOS,Coffee,,,116,11/04/2021,11/08/2021,exception,,Item,34,,11/08/2021,020232784,12495107,雀巢金牌厚乳风味拿铁条装即溶咖啡饮品 @10(5x19g) CN,,,,2,811,770,价差订单
11/16/2021,2200413831,SYDC,SYSOS,,,,116,11/04/2021,11/08/2021,clean,,Order,34,,11/08/2021,,,,,,,,,,
11/16/2021,2200413832,SYDC,SYSOS,,,,3,11/04/2021,11/08/2021,clean,,Order,3,,11/08/2021,,,,,,,,,,
11/16/2021,2200413833,SYDC,SYSOS,,,,123,11/09/2021,11/11/2021,clean,,Order,12,,11/11/2021,,,,,,,,,,
11/16/2021,2200413834,SYDC,SYSOS,Dairy,,,405,11/09/2021,11/11/2021,exception,,Item,51,,11/11/2021,020218452,12322429,鹰唛炼奶低脂支装 @4(6x185g) CN,,,,4,411,400,价差订单
11/16/2021,2200413834,SYDC,SYSOS,,,,405,11/09/2021,11/11/2021,clean,,Order,51,,11/11/2021,,,,,,,,,,
11/16/2021,2450524768,SZDC,SYSOS,Dairy,,,454,10/29/2021,11/01/2021,exception,,Item,39,,11/01/2021,021194064,9123040,雀巢鹰唛炼奶草莓味支装@4(6x185g)CN,,,,16,811,770,价差订单
11/16/2021,2450524768,SZDC,SYSOS,,,,454,10/29/2021,11/01/2021,exception,跨月订单,Order,39,,11/01/2021,,,,,,,,,,跨月订单
11/16/2021,2450524769,SZDC,SYSOS,,,,15,10/29/2021,11/04/2021,exception,跨月订单,Order,3,,11/04/2021,,,,,,,,,,跨月订单
11/16/2021,2450524770,SZDC,SYSOS,,,,225,10/29/2021,11/04/2021,exception,跨月订单,Order,10,,11/04/2021,,,,,,,,,,跨月订单
11/16/2021,2450524774,SZDC,SYSOS,CPW,,,93,11/01/2021,11/04/2021,exception,,Item,29,,11/04/2021,020671876,12431506,雀巢谷物早餐迷你装@20(4x27g)N2CN,,,,5,411,400,价差订单
11/16/2021,2450524774,SZDC,SYSOS,,,,93,11/01/2021,11/04/2021,clean,,Order,29,,11/04/2021,,,,,,,,,,
11/16/2021,2450524775,SZDC,SYSOS,,,,131,11/01/2021,11/04/2021,clean,,Order,9,,11/04/2021,,,,,,,,,,
11/16/2021,2450524777,SZDC,SYSOS,Coffee,,,308,11/04/2021,11/08/2021,exception,,Item,46,,11/08/2021,020662624,12470664,星巴克卡布奇诺精品即溶咖啡饮品@10(4x14g) N1 XJ,,,,1,411,400,价差订单
11/16/2021,2450524777,SZDC,SYSOS,,,,308,11/04/2021,11/08/2021,clean,,Order,46,,11/08/2021,,,,,,,,,,
11/16/2021,2450524778,SZDC,SYSOS,,,,44,11/04/2021,11/08/2021,clean,,Order,8,,11/08/2021,,,,,,,,,,
11/16/2021,2450524781,SZDC,SYSOS,Coffee,,,1150,11/09/2021,11/11/2021,exception,,Item,53,,11/11/2021,020960776,12362971,雀巢金牌咖啡至醇浓郁 @12x100g CN,,,,1,831,764,价差订单
11/16/2021,2450524781,SZDC,SYSOS,,,,1150,11/09/2021,11/11/2021,clean,,Order,53,,11/11/2021,,,,,,,,,,
