Id,Name,流程配置路径
add1e531-c816-409a-aac9-02f9dfd7c828,icebreaker旗舰店_市场排行_商品排行2_16类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\icebreaker旗舰店_市场排行_商品排行2.xlsx
ec14a7eb-3ed4-4070-a9f6-ec76827f70ca,icebreaker旗舰店_市场排行_品牌排行2_16类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\icebreaker旗舰店_市场排行_品牌排行2.xlsx
fab56056-18c3-49a8-a857-8f8801c1f4a7,icebreaker旗舰店_市场排行_店铺排行2_16类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\icebreaker旗舰店_市场排行_店铺排行2.xlsx
2c8e8e44-6842-4525-81c2-3ce45cba9196,oysho官方旗舰店_市场排行_商品排行2_6类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_市场排行_商品排行2.xlsx
f5aabc12-fd94-40b2-96a2-301b3f7722e0,oysho官方旗舰店_市场排行_品牌排行2_6类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_市场排行_品牌排行2.xlsx
6991f9ca-4696-4d12-8ad5-b7858611e2bd,oysho官方旗舰店_市场排行_店铺排行2_6类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_市场排行_店铺排行2.xlsx
5a4d89f5-08c3-4b6d-a3d9-f7b923d458e9,elemis艾丽美旗舰店_市场排行_商品排行2_8类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_商品排行2.xlsx
b80ac420-4891-4bee-a16f-715eca6c76f2,elemis艾丽美旗舰店_市场排行_品牌排行2_8类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_品牌排行2.xlsx
482c7c59-437c-4db7-88a0-562efa5c8c22,elemis艾丽美旗舰店_市场排行_店铺排行2_8类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_店铺排行2.xlsx
00671c46-18ac-4ecd-be73-3780eefded71,seiko精工眼镜官方旗舰店_市场排行_商品排行2_8类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_市场排行_商品排行2.xlsx
eb719300-cb94-44f8-b42d-c25c8b54d5bd,seiko精工眼镜官方旗舰店_市场排行_品牌排行2_剩余8类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_市场排行_品牌排行2.xlsx
1a1e4fbc-fa47-4d88-a21a-987046674471,seiko精工眼镜官方旗舰店_市场排行_店铺排行2_剩余8类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_市场排行_店铺排行2.xlsx
b4cb5375-9df0-4a71-8475-01e8acb52e25,seiko精工眼镜官方旗舰店_市场排行_市场大盘_搜排_市排_简化配置项,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_市场排行_市场大盘_搜排_市排.xlsx
04a28978-5715-4775-9332-7339852b2217,Aesop海外旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Aesop海外旗舰店_商品排行.xlsx
1732de56-c8fa-40c9-81a6-798d3fb85a4a,robertocoin珂瑛旗舰店_竞品分析_竞店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\robertocoin珂瑛旗舰店_竞品分析_竞店.xlsx
b1aeb513-2899-4abf-834a-620526326a13,elemis艾丽美旗舰店_竞品分析_竞店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_竞品分析_竞店.xlsx
54f7893e-6fb7-416e-b65a-1c4bd3af972d,elemis艾丽美旗舰店_市场排行_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_店铺排行.xlsx
10796e4e-940d-4f99-95b1-43a5936868f1,elemis艾丽美旗舰店_市场排行_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_品牌排行.xlsx
3a2e8fae-0851-473d-a0a6-6dee63147702,elemis艾丽美旗舰店_市场排行_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_市场排行_商品排行.xlsx
036a3bf0-d053-4f37-ae66-47ecdac739c1,seiko精工眼镜官方旗舰店_市场排行_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_市场排行_商品排行.xlsx
dc81a3d8-4d12-40a7-a238-af9a2d0128e0,seiko精工眼镜官方旗舰店_市场排行_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_市场排行_品牌排行.xlsx
28c78cd8-4de0-40d2-a826-996b956abedd,seiko精工眼镜官方旗舰店_市场排行_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_市场排行_店铺排行.xlsx
c4783bb3-cf50-4e54-910d-a944b92ae3c5,seiko精工眼镜官方旗舰店_竞品分析_竞店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_竞品分析_竞店.xlsx
861ce960-a4aa-4f30-92bc-512a81beabe9,几致旗舰店_竞品分析_本品和竞店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_竞品分析_本品和竞店.xlsx
db8d1ca6-7e3a-4db0-a998-e011428ebf75,几致旗舰店_竞品分析_竞品,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_竞品分析_竞品.xlsx
fdce504f-a1a5-46ea-b3e5-6cfdf564497f,几致旗舰店_市场排行_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_市场排行_店铺排行.xlsx
3c1b373b-dd2b-4993-9d46-53f53aafb935,几致旗舰店_市场排行_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_市场排行_品牌排行.xlsx
c46a4841-e4a2-4845-bc21-f48684469467,几致旗舰店_市场排行_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_市场排行_商品排行.xlsx
e96e54d0-e05d-4654-9397-0aa8d4aceeef,icebreaker旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\icebreaker旗舰店_商品排行.xlsx
b0adf732-a09f-4fe0-a657-aeafac7c9051,Salvatore Ferragamo菲拉格慕官方旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Salvatore Ferragamo菲拉格慕官方旗舰店_商品排行.xlsx
908b9a2c-4088-4911-822e-3ddaf2ec29c6,Golden Goose官方旗舰店_竞品分析2,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Golden Goose官方旗舰店_竞品分析2.xlsx
d8608c98-b4e0-49c0-baff-12ebebff2be3,Golden Goose官方旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Golden Goose官方旗舰店_商品排行.xlsx
6be8f456-9527-42ea-9e29-021e65361595,圣罗兰官方旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\圣罗兰官方旗舰店_商品排行.xlsx
c308270f-382d-4cb0-a89a-6ecb5dc40ae1,COACH蔻驰官方旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\COACH蔻驰官方旗舰店_商品排行.xlsx
8c18052b-59bf-4a5d-95ae-e4d7aca18868,COACH官方outlet旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\COACH官方outlet旗舰店_商品排行.xlsx
33f5629d-2f00-4c07-8ea0-89999fe0705a,TOUS桃丝熊官方旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\TOUS桃丝熊官方旗舰店_商品排行.xlsx
2b3ffeb7-d4b1-4920-96e6-50edd40a0171,FREYWILLE旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\FREYWILLE旗舰店_商品排行.xlsx
71c5fed0-6c54-4830-99bb-10f759db8f2a,bluenile旗舰店_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bluenile旗舰店_店铺排行.xlsx
9c1da832-3f91-4461-8d3b-9dd8c178473b,bluenile旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bluenile旗舰店_商品排行.xlsx
6b2ff4ef-800c-4eb9-85b3-b79ff076b3d1,Graff格拉夫官方旗舰店_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Graff格拉夫官方旗舰店_品牌排行.xlsx
a7f38f20-7177-4d5a-8db8-1fe084b93989,Graff格拉夫官方旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Graff格拉夫官方旗舰店_商品排行.xlsx
b48b93de-a645-4ee6-87b2-f38db67f9ede,Graff格拉夫官方旗舰店_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Graff格拉夫官方旗舰店_店铺排行.xlsx
339cb630-e471-418b-89dd-87d149223221,LEPEBBLE乐有石旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\LEPEBBLE乐有石旗舰店_商品排行.xlsx
330a3ca5-50fd-4b0a-9565-d49555d7f516,FER A CHEVAL旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\FER A CHEVAL旗舰店_商品排行.xlsx
90932fb9-4046-4c4e-981e-b0a5dc19e8a7,BACCARAT巴卡拉旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BACCARAT巴卡拉旗舰店_商品排行.xlsx
f72e159e-6ff5-4fe2-97ce-1ebc0fb7379f,BONDI WASH旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BONDI WASH旗舰店_商品排行.xlsx
447438d4-644e-442b-8b80-512f0ba8aba5,BONDI WASH旗舰店_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BONDI WASH旗舰店_品牌排行.xlsx
b2bcfa9a-9215-40d3-ab6f-16b6ea9c1081,BalmainHair海外旗舰店_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BalmainHair海外旗舰店_品牌排行.xlsx
92642c53-36e2-424a-8252-7b61168d26b3,balmainhair海外旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BalmainHair海外旗舰店_商品排行.xlsx
ed11888d-a8ab-419c-9990-cddee08e3756,Byredo柏芮朵官方旗舰店_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\byredo柏芮朵官方旗舰店_商品排行.xlsx
601d4121-dfc5-48e4-b5e9-c29bf3b2e16e,Aesop海外旗舰店_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\aesop海外旗舰店_品牌排行.xlsx
1124c010-66df-4070-b72f-cc8ba3590d8c,byredo柏芮朵官方旗舰店_竞品分析2,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\byredo柏芮朵官方旗舰店_竞品分析2.xlsx
806b1ce0-9ca1-4ce2-aded-0c3b42accb09,lecreuset酷彩官方旗舰店_市场排行_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Iecreuset酷彩官方旗舰店_市场排行_商品排行.xlsx
d537a1f2-e2cf-4b39-8173-52d305c0ac8b,lecreuset酷彩官方旗舰店_市场排行_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Iecreuset酷彩官方旗舰店_市场排行_品牌排行.xlsx
8321c90e-3216-4897-a84a-8dad60498162,lecreuset酷彩官方旗舰店_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Iecreuset酷彩官方旗舰店_市场排行_店铺排行.xlsx
4eac9d2a-7be6-4085-8c30-de49d41d2744,lecreuset酷彩官方旗舰店_竞品分析_本品和竞店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Iecreuset酷彩官方旗舰店_竞品分析_本品和竞店.xlsx
